SYMBOL,INTERVAL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
HDFC.NS,D,2005-10-25,182.60000300000002,185.000003,180.200003,182.120003,4008839.940264
HDFC.NS,D,2005-10-26,182.10000300000002,187.35000300000002,182.10000300000002,185.360003,1502244.977615
HDFC.NS,D,2005-10-27,184.010003,192.800003,183.800003,188.870003,1953974.970884
HDFC.NS,D,2005-10-28,187.000003,188.60000300000002,184.000003,187.790003,3155954.952973
HDFC.NS,D,2005-10-31,188.38000300000002,195.590003,187.60000300000002,193.580003,2303244.965679
HDFC.NS,D,2005-11-01,193.580003,195.960003,188.400003,193.930003,995034.9851729999
HDFC.NS,D,2005-11-02,194.010003,202.000003,193.510003,200.060003,2613679.961053
HDFC.NS,D,2005-11-07,200.000003,206.730003,198.200003,200.890003,2379474.964543
HDFC.NS,D,2005-11-08,201.60000300000002,209.98000299999998,200.000003,208.150003,2761534.95885
HDFC.NS,D,2005-11-09,208.400003,216.000003,207.040003,209.780003,2100259.968704
HDFC.NS,D,2005-11-10,208.000003,209.780003,202.620003,205.410003,920769.9862790001
HDFC.NS,D,2005-11-11,205.200003,211.20000299999998,204.60000300000002,209.970003,2674234.960151
HDFC.NS,D,2005-11-14,209.970003,218.000003,209.970003,215.500003,2901629.956762
HDFC.NS,D,2005-11-16,215.500003,216.600003,212.80000299999998,213.58000299999998,1087299.983798
HDFC.NS,D,2005-11-17,213.80000299999998,214.30000299999998,208.000003,209.220003,1664239.975201
HDFC.NS,D,2005-11-18,209.60000300000002,212.80000299999998,207.040003,208.590003,1547069.976947
HDFC.NS,D,2005-11-21,208.000003,215.000003,208.000003,213.970003,7370374.890172999
HDFC.NS,D,2005-11-22,213.36000299999998,213.36000299999998,208.230003,209.63000300000002,1037724.9845370001
HDFC.NS,D,2005-11-23,209.63000300000002,211.20000299999998,208.000003,210.58000299999998,1355199.979806
HDFC.NS,D,2005-11-24,213.96000299999997,219.000003,211.600003,217.17000299999998,2992679.955406
HDFC.NS,D,2005-11-25,208.310003,224.000003,208.310003,223.250003,3069304.954264
HDFC.NS,D,2005-11-26,224.000003,224.970003,222.20000299999998,223.720003,172634.997428
HDFC.NS,D,2005-11-28,224.000003,229.380003,223.80000299999998,227.780003,2668594.9602349997
HDFC.NS,D,2005-11-29,228.02000299999997,229.600003,210.70000299999998,227.62000299999997,5556834.917197
HDFC.NS,D,2005-11-30,229.000003,231.99000299999997,223.130003,225.59000299999997,4773539.928869001
HDFC.NS,D,2005-12-01,225.20000299999998,230.000003,225.20000299999998,228.73000299999998,4334699.935408
HDFC.NS,D,2005-12-02,229.000003,233.500003,228.42000299999998,229.04000299999998,2273769.966118
HDFC.NS,D,2005-12-05,229.04000299999998,231.39000299999998,221.04000299999998,222.57000299999999,1955154.970866
